open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1710343800000,72719.10,72947.00,72686.10,72789.70,2918.095,1710344699999,212590004.48310,47914,1373.393,100056437.63760,0
1710344700000,72789.70,72789.80,72435.00,72670.20,3692.469,1710345599999,268092129.13010,60092,1687.331,122525507.27620,0
1710345600000,72670.20,72718.60,72410.60,72454.10,3086.078,1710346499999,223889411.85180,46015,1319.996,95772456.50390,0
1710346500000,72454.00,72823.30,72437.90,72786.50,2928.300,1710347399999,212841741.36590,43839,1689.190,122777705.24620,0
1710347400000,72786.40,72857.10,72625.00,72818.80,2080.148,1710348299999,151273749.27620,33278,941.358,68462370.42630,0
1710348300000,72818.80,73086.00,72761.10,73058.80,3464.924,1710349199999,252716333.05550,49631,1983.731,144691636.99290,0
1710349200000,73058.70,73268.40,72904.70,73008.40,4554.290,1710350099999,332931360.75160,67651,2362.358,172722906.61270,0
1710350100000,73008.40,73033.90,72732.00,72859.40,2798.392,1710350999999,203908126.72720,43816,1222.017,89052264.60490,0
1710351000000,72859.40,73038.80,72751.70,72947.90,1577.861,1710351899999,115013476.98360,28812,823.408,60028746.96170,0
1710351900000,72948.00,73056.30,72852.00,72889.30,1351.445,1710352799999,98580711.61470,23626,636.073,46405967.69750,0
1710352800000,72889.30,72986.30,72823.00,72935.40,1451.389,1710353699999,105822041.30110,21735,698.340,50915847.07390,0
1710353700000,72935.40,73060.70,72777.90,73053.70,1323.826,1710354599999,96535528.08830,23723,683.619,49859434.50210,0
1710354600000,73053.80,73336.90,73014.50,73130.10,4184.476,1710355499999,306323838.95104,60470,2091.380,153121497.70574,0
1710355500000,73130.00,73277.00,73099.30,73199.90,1667.968,1710356399999,122066899.39900,27273,788.287,57691737.97410,0
1710356400000,73199.80,73300.00,73087.00,73188.60,1894.691,1710357299999,138675937.19050,27707,922.543,67524743.29460,0
1710357300000,73188.60,73246.80,72831.90,72842.60,2452.097,1710358199999,179002295.90810,37307,884.559,64564838.82260,0
1710358200000,72842.70,73012.10,72837.90,72890.80,1987.575,1710359099999,144961589.48150,29844,1016.226,74115981.47580,0
1710359100000,72890.90,73421.60,72859.90,73399.90,2943.315,1710359999999,215388457.94720,40678,1754.211,128392454.11200,0
1710360000000,73399.90,73471.60,73106.50,73464.00,2456.384,1710360899999,180088064.21270,44330,1246.751,91409496.79230,0
1710360900000,73463.90,73485.10,73211.30,73211.30,2491.420,1710361799999,182730485.27680,37953,1098.698,80594724.83250,0
1710361800000,73211.30,73220.00,72988.10,73034.80,1968.502,1710362699999,143838626.50250,32606,890.410,65053556.02730,0
1710362700000,73034.80,73295.20,72976.40,73146.00,1362.315,1710363599999,99619734.07620,26836,743.529,54369533.66020,0
1710363600000,73145.90,73288.60,73103.80,73231.40,967.834,1710364499999,70874418.73790,20043,488.409,35764614.29620,0
1710364500000,73231.40,73231.50,72995.00,73082.60,1050.193,1710365399999,76754490.34120,21055,432.301,31592272.07040,0
1710365400000,73082.60,73438.50,72983.40,73213.30,1933.825,1710366299999,141678445.33370,34990,1024.730,75077034.67030,0
1710366300000,73213.20,73363.30,73128.00,73295.40,913.700,1710367199999,66904415.81370,19714,427.981,31337743.46250,0
1710367200000,73295.40,73332.10,73106.30,73190.20,1091.314,1710368099999,79896619.54490,22144,479.199,35084308.10100,0
